,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
1,Ryan Suter,DAL,D,82,1553.0666666667,2,15,7,8,17,23.29,102,1.96,3.86,254,163,69,6,3,16,28,14,14,0,0,0,30,16,86,93,111,0,0,
2,Jeff Carter,PIT,C,72,905.08333333333,11,4,2,2,15,62.5,90,12.22,11.45,175,134,95,53,9,18,12,6,6,0,0,5,20,23,83,34,33,265,159,62.5
3,Zach Parise,COL,L,30,389.01666666667,5,5,2,3,10,76.92,50,10.0,5.67,78,62,50,30,4,13,8,4,4,0,0,2,4,11,20,22,25,13,30,30.23
4,Brent Burns,CAR,D,82,1763.0666666667,10,33,14,19,43,35.83,185,5.41,8.7,536,300,130,12,9,56,18,9,9,0,0,7,56,35,41,38,87,0,0,
5,Corey Perry,CHI,R,16,234.45,4,5,4,1,9,64.29,26,15.38,3.34,40,33,27,16,0,6,12,6,6,0,0,4,8,6,15,14,8,0,0,
6,Corey Perry,EDM,R,38,488.18333333333,8,5,2,3,13,52.0,56,14.29,8.31,103,87,69,44,4,13,34,11,7,4,0,10,12,9,29,58,9,0,1,0.0
7,Joe Pavelski,DAL,C,82,1378.3666666667,27,40,26,14,67,62.04,194,13.92,28.18,329,261,232,130,7,34,20,10,10,0,0,19,56,25,75,56,70,355,340,51.08
8,Mark Giordano,TOR,D,46,764.38333333333,3,6,2,4,9,23.68,59,5.08,2.9,147,83,44,7,9,9,49,15,12,1,2,5,27,9,51,90,86,0,0,
9,Alex Ovechkin,WSH,L,79,1518.4666666667,31,34,21,13,65,63.73,272,11.4,29.66,605,395,245,83,17,64,20,10,10,0,0,11,35,26,164,36,27,0,2,0.0
10,Evgeni Malkin,PIT,C,82,1523.9333333333,27,40,24,16,67,69.07,199,13.57,23.56,401,280,218,82,6,47,70,33,33,0,0,32,56,90,29,80,42,389,412,48.56
11,Blake Wheeler,NYR,R,54,686.75,9,12,4,8,21,63.64,83,10.84,9.03,144,116,75,31,3,5,23,10,9,1,0,4,21,16,31,43,31,38,24,61.29
12,Alex Goligoski,MIN,D,36,533.1,0,10,7,3,10,47.62,32,0.0,2.01,80,51,25,7,0,6,18,9,9,0,0,4,12,3,27,29,41,0,0,
13,Sidney Crosby,PIT,C,82,1647.1166666667,42,52,34,18,94,70.15,278,15.11,38.58,490,398,287,131,17,52,40,20,20,0,0,29,57,73,101,52,37,1090,782,58.23
14,Jack Johnson,COL,D,80,1194.1833333333,3,13,8,5,16,29.09,76,3.95,3.12,201,111,56,6,3,24,38,10,8,0,2,8,20,12,78,87,89,0,0,
15,Anze Kopitar,L.A,C,81,1592.3166666667,26,44,29,15,70,64.22,133,19.55,16.76,232,182,138,73,3,19,22,7,6,0,1,12,37,49,37,69,65,858,702,55.0
16,Marc Staal,PHI,D,35,483.41666666667,1,4,2,2,5,25.0,20,5.0,1.24,59,37,18,3,0,5,14,7,7,0,0,3,9,4,31,31,44,0,0,
17,T.J. Oshie,WSH,R,52,877.18333333333,12,13,5,8,25,56.82,90,13.33,18.31,197,158,144,70,6,26,44,18,17,0,1,18,16,41,75,50,56,12,31,27.91
18,Andrew Cogliano,COL,C,75,795.73333333333,6,13,10,3,19,65.52,61,9.84,5.19,103,80,55,22,3,10,16,8,8,0,0,18,14,13,33,54,40,54,109,33.13
19,Marc-Edouard Vlasic,S.J,D,57,928.0,6,6,2,4,12,46.15,72,8.33,2.84,158,108,45,12,5,19,26,9,8,0,1,4,27,16,35,47,108,0,0,
20,Kris Letang,PIT,D,82,2024.45,10,41,18,23,51,46.79,164,6.1,7.94,416,239,102,15,6,34,62,27,26,0,1,15,64,47,137,131,136,0,0,
21,Ryan Reaves,TOR,R,49,397.7,4,2,2,0,6,54.55,26,15.38,4.09,60,46,36,23,2,5,49,14,7,7,0,13,9,8,164,51,17,1,0,100.0
22,Brad Marchand,BOS,L,82,1566.35,29,38,21,17,67,63.81,207,14.01,25.28,389,294,213,89,17,19,78,36,34,2,0,46,80,48,115,124,35,24,31,43.64
23,Nick Foligno,CHI,L,74,1314.5833333333,17,20,8,12,37,54.41,146,11.64,21.25,225,189,157,99,8,24,57,24,21,3,0,19,26,47,192,41,39,228,207,52.41
24,Erik Johnson,BUF,D,50,690.4,3,0,0,0,3,12.0,40,7.5,1.23,87,55,20,2,4,5,24,5,2,2,1,8,12,3,93,63,68,0,0,
25,Erik Johnson,PHI,D,17,279.31666666667,2,1,0,1,3,37.5,20,10.0,0.71,41,25,10,3,0,5,2,1,1,0,0,0,3,3,50,28,29,0,0,
26,Kyle Okposo,BUF,R,61,830.45,12,10,7,3,22,68.75,107,11.21,12.24,183,145,110,61,6,22,32,12,11,0,1,8,11,19,61,60,34,129,142,47.6
27,Kyle Okposo,FLA,R,6,64.183333333333,0,0,0,0,0,0.0,8,0.0,0.35,12,9,7,2,0,0,2,1,1,0,0,0,1,1,14,6,1,2,2,50.0
28,Trevor Lewis,L.A,C,82,954.13333333333,8,8,6,2,16,53.33,130,6.15,12.28,211,175,93,51,12,21,20,10,10,0,0,7,17,15,90,107,62,133,179,42.63
29,Milan Lucic,BOS,L,4,47.883333333333,0,2,2,0,2,100.0,1,0.0,0.04,4,2,1,0,0,0,2,1,1,0,0,0,3,0,12,6,2,0,0,
30,Cal Clutterbuck,NYI,R,82,974.11666666667,7,12,8,4,19,65.52,59,11.86,7.75,107,89,69,33,8,12,32,12,11,0,1,13,22,26,273,63,55,13,22,37.14
31,Jeff Petry,DET,D,73,1372.05,3,21,8,13,24,42.11,84,3.57,3.48,198,125,39,8,3,20,39,17,16,1,0,8,40,10,150,97,134,0,0,
32,Claude Giroux,OTT,R,82,1647.55,21,43,27,16,64,68.82,183,11.48,18.59,346,247,171,78,19,34,26,13,13,0,0,24,46,53,40,56,30,668,484,57.99
33,Jordan Staal,CAR,C,80,1230.3,10,20,7,13,30,71.43,123,8.13,15.96,230,175,150,80,7,30,44,21,21,0,0,12,28,25,142,79,41,799,576,58.11
34,Nicklas Backstrom,WSH,C,8,116.46666666667,0,1,0,1,1,50.0,12,0.0,1.99,17,16,13,9,0,3,2,1,1,0,0,2,3,5,2,8,5,44,40,52.38
35,Alex Killorn,ANA,"C, L",63,1180.1166666667,18,18,14,4,36,65.45,145,12.41,18.65,275,203,162,71,4,29,54,23,22,0,1,11,33,29,72,69,25,14,25,35.9
36,Jamie Benn,DAL,L,82,1239.8333333333,21,39,21,18,60,68.18,164,12.8,22.62,296,224,170,98,8,31,41,17,16,1,0,23,33,49,110,69,50,436,276,61.24
37,Nick Bonino,NYR,C,45,551.43333333333,1,4,3,1,5,62.5,31,3.23,3.44,65,48,35,13,1,8,8,4,4,0,0,3,5,12,10,23,78,207,199,50.99
38,Ian Cole,VAN,D,78,1457.7666666667,2,9,3,6,11,18.33,61,3.28,1.66,161,98,32,1,2,11,61,26,23,3,0,12,42,18,83,134,166,0,0,
39,Kevin Shattenkirk,BOS,D,61,962.58333333333,6,18,14,4,24,45.28,78,7.69,3.02,179,103,52,6,5,21,18,9,9,0,0,3,18,13,63,111,85,0,0,
40,Pat Maroon,BOS,L,2,29.233333333333,0,0,0,0,0,,2,0.0,0.16,4,2,2,1,0,1,0,0,0,0,0,0,0,1,11,3,0,0,0,
41,Patrick Maroon,MIN,L,49,625.7,4,12,7,5,16,57.14,54,7.41,5.81,102,72,50,28,3,8,60,17,10,6,1,13,17,14,71,54,16,12,20,37.5
42,James van Riemsdyk,BOS,L,71,958.93333333333,11,27,16,11,38,70.37,140,7.86,21.87,222,189,168,123,9,36,20,10,10,0,0,4,14,11,34,82,22,10,11,47.62
43,Sam Gagner,EDM,C,28,285.88333333333,5,5,4,1,10,66.67,48,10.42,4.43,74,60,35,18,0,5,10,5,5,0,0,1,10,2,17,34,17,15,9,62.5
44,Logan Couture,S.J,C,6,112.51666666667,0,1,1,0,1,33.33,7,0.0,1.06,20,14,7,4,0,1,4,2,2,0,0,1,1,2,8,4,8,46,50,47.92
45,Riley Nash,NYR,C,1,11.083333333333,0,0,0,0,0,,1,0.0,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,50.0
46,Brendan Smith,N.J,D,63,1014.3333333333,5,10,3,7,15,31.91,60,8.33,3.18,136,95,33,7,9,9,61,26,23,3,0,18,29,16,117,99,101,0,0,
47,David Perron,DET,L,76,1187.8,17,30,17,13,47,59.49,151,11.26,17.16,261,200,141,50,11,18,45,21,20,1,0,10,12,31,111,67,27,16,18,47.06
48,Patrick Kane,DET,R,50,918.81666666667,20,27,18,9,47,74.6,147,13.61,12.53,266,194,132,41,1,19,16,7,7,0,0,10,30,14,14,30,13,0,0,
49,Robert Bortuzzo,NYI,D,23,329.16666666667,0,0,0,0,0,0.0,10,0.0,0.72,24,17,7,2,0,5,20,10,10,0,0,2,4,2,33,47,48,0,0,
50,Robert Bortuzzo,STL,D,4,41.566666666667,0,0,0,0,0,0.0,1,0.0,0.01,2,1,0,0,0,1,7,2,1,1,0,2,0,2,5,2,3,0,0,
51,Evgenii Dadonov,DAL,R,51,671.96666666667,12,11,3,8,23,67.65,67,17.91,8.83,144,115,82,42,5,16,8,4,4,0,0,4,14,18,35,38,19,0,4,0.0
52,Mikael Backlund,CGY,C,82,1577.2333333333,15,24,20,4,39,54.93,209,7.18,22.82,391,307,197,93,21,38,24,12,12,0,0,12,56,61,70,68,33,778,769,50.29
53,Ryan McDonagh,NSH,D,74,1612.3166666667,3,29,13,16,32,42.11,91,3.3,4.23,213,133,66,8,1,17,21,9,8,1,0,5,56,35,38,43,139,0,0,
54,Max Pacioretty,WSH,L,47,678.38333333333,4,19,11,8,23,63.89,95,4.21,9.12,186,142,94,39,7,17,25,11,10,1,0,9,16,14,76,68,22,5,12,29.41
55,Alec Martinez,VGK,D,55,1047.4333333333,4,13,5,8,17,31.48,72,5.56,2.5,182,107,47,4,1,12,6,3,3,0,0,4,25,12,29,91,165,0,0,
56,Lars Eller,PIT,C,82,1309.1666666667,15,16,8,8,31,62.0,154,9.74,17.84,300,226,155,61,11,28,32,14,14,0,0,20,37,54,55,105,56,487,445,52.25
57,Drew Doughty,L.A,D,82,2115.0666666667,15,35,14,21,50,43.86,135,11.11,8.3,306,184,84,12,7,27,44,22,22,0,0,13,45,20,109,132,142,0,0,
58,Steven Stamkos,T.B,C,79,1440.05,40,41,18,23,81,67.5,262,15.27,29.03,490,370,258,72,4,38,34,17,17,0,0,14,52,23,78,75,43,357,280,56.04
59,Alex Pietrangelo,VGK,D,64,1508.2,4,29,16,13,33,35.87,141,2.84,7.06,317,206,75,16,7,24,24,8,7,0,1,10,40,50,46,123,160,0,0,
60,Zach Bogosian,MIN,D,61,1114.4333333333,3,11,6,5,14,28.0,77,3.9,2.38,172,114,35,6,3,18,63,22,19,1,2,9,23,11,105,43,81,0,0,
61,Zach Bogosian,T.B,D,4,47.8,0,0,0,0,0,0.0,6,0.0,0.26,16,8,8,0,0,1,0,0,0,0,0,0,2,0,4,4,2,0,0,
62,Luke Schenn,NSH,D,63,956.61666666667,1,6,4,2,7,21.21,81,1.23,2.38,188,109,45,5,5,8,43,14,9,5,0,7,41,14,202,98,76,0,0,
63,Tyler Myers,VAN,D,77,1459.0666666667,5,24,12,12,29,43.94,93,5.38,4.25,219,144,47,8,5,25,77,32,30,1,1,8,33,13,110,96,136,0,0,
64,Erik Karlsson,PIT,D,82,1990.0166666667,11,45,24,21,56,46.67,213,5.16,11.47,549,310,156,18,11,51,44,22,22,0,0,14,71,50,40,117,99,0,0,
65,Jordan Eberle,SEA,R,78,1360.7,17,27,18,9,44,55.7,168,10.12,22.95,313,243,187,103,11,32,17,7,6,1,0,12,20,59,30,98,23,31,42,42.47
66,John Carlson,WSH,D,82,2123.1166666667,10,42,16,26,52,46.85,176,5.68,12.36,439,274,144,27,10,50,40,16,15,0,1,16,82,58,69,103,194,0,0,
67,Roman Josi,NSH,D,82,2019.75,23,62,38,24,85,57.43,268,8.58,16.22,602,379,210,26,8,54,45,21,20,1,0,15,60,33,46,124,151,0,0,
68,Justin Schultz,SEA,D,70,1153.1166666667,7,19,8,11,26,60.47,100,7.0,5.64,267,163,75,6,2,23,22,11,11,0,0,1,12,17,26,72,68,0,0,
69,Travis Hamonic,OTT,D,48,707.3,2,4,2,2,6,22.22,50,4.0,1.26,118,76,27,1,1,10,40,16,15,0,1,8,26,11,54,74,75,0,0,
70,Marco Scandella,STL,D,65,810.8,2,6,4,2,8,28.57,42,4.76,2.21,107,67,23,7,1,8,15,6,5,1,0,5,16,22,70,65,49,0,0,
71,Adam Henrique,ANA,C,60,1055.4666666667,18,24,13,11,42,68.85,111,16.22,16.17,220,174,125,68,6,23,33,11,9,1,1,9,11,24,59,50,57,482,429,52.91
72,Adam Henrique,EDM,C,22,326.16666666667,6,3,2,1,9,52.94,28,21.43,4.54,55,48,34,23,2,7,4,2,2,0,0,3,7,6,40,15,21,95,77,55.23
73,TJ Brodie,TOR,D,78,1694.25,1,25,11,14,26,30.95,52,1.92,2.73,120,73,27,5,1,12,40,16,15,0,1,10,53,20,41,176,159,0,0,
74,Gustav Nyquist,NSH,C,81,1437.1333333333,23,52,34,18,75,70.09,153,15.03,20.65,271,212,143,73,11,28,8,4,4,0,0,12,40,37,36,91,38,15,24,38.46
75,Matt Martin,NYI,L,57,530.81666666667,4,4,3,1,8,42.11,48,8.33,4.96,75,62,46,27,3,5,43,14,9,5,0,13,11,12,151,33,29,7,11,38.89
76,Cam Atkinson,PHI,R,70,1116.1833333333,13,15,5,10,28,60.87,175,7.43,17.41,290,223,158,81,14,31,27,12,11,1,0,14,20,17,35,36,46,12,13,48.0
77,Jared Spurgeon,MIN,D,16,373.23333333333,0,5,1,4,5,26.32,21,0.0,1.09,54,29,22,4,2,4,2,1,1,0,0,1,1,3,14,24,29,0,0,
78,Tyler Johnson,CHI,C,67,1041.0833333333,17,14,4,10,31,70.45,112,15.18,15.49,201,161,118,65,9,23,26,13,13,0,0,9,21,26,48,27,31,156,195,44.44
79,Mike Hoffman,S.J,C,66,906.28333333333,10,13,4,9,23,65.71,71,14.08,7.89,160,113,68,24,3,14,20,10,10,0,0,5,12,31,28,36,27,12,20,37.5
80,Marcus Johansson,MIN,L,78,1239.25,11,19,9,10,30,57.69,112,9.82,12.05,246,172,127,50,6,20,22,11,11,0,0,16,33,26,44,95,29,6,26,18.75
81,Kyle Palmieri,NYI,C,82,1412.0166666667,30,24,10,14,54,60.67,218,13.76,34.26,384,312,241,119,13,49,26,13,13,0,0,23,37,21,89,92,43,13,21,38.24
